"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0500000US08109","Saguache County, Colorado","3397","131","2613","180","784","187",
"0500000US08111","San Juan County, Colorado","399","69","211","49","188","74",
"0500000US08113","San Miguel County, Colorado","4604","219","2899","228","1705","293",
"0500000US08115","Sedgwick County, Colorado","1022","78","734","67","288","55",
"0500000US08117","Summit County, Colorado","12545","638","9040","471","3505","522",
"0500000US08119","Teller County, Colorado","11860","326","9605","373","2255","308",
"0500000US08121","Washington County, Colorado","2070","65","1524","76","546","67",
"0500000US08123","Weld County, Colorado","124287","667","94490","1181","29797","1184",
"0500000US08125","Yuma County, Colorado","4078","114","2811","214","1267","193",
"0500000US09110","Capitol Planning Region, Connecticut","391113","1213","257054","2433","134059","2433",
"0500000US09120","Greater Bridgeport Planning Region, Connecticut","119633","504","78087","1228","41546","1124",
"0500000US09130","Lower Connecticut River Valley Planning Region, Connecticut","74068","693","56136","1061","17932","900",
"0500000US09140","Naugatuck Valley Planning Region, Connecticut","180116","990","123476","2007","56640","1856",
"0500000US09150","Northeastern Connecticut Planning Region, Connecticut","39412","418","30453","595","8959","561",
"0500000US09160","Northwest Hills Planning Region, Connecticut","47845","600","36503","762","11342","689",
"0500000US09170","South Central Connecticut Planning Region, Connecticut","230673","1113","139620","2160","91053","1840",
"0500000US09180","Southeastern Connecticut Planning Region, Connecticut","115768","890","75341","1292","40427","1309",
"0500000US09190","Western Connecticut Planning Region, Connecticut","235379","1110","156319","1727","79060","1769",
"0500000US10001","Kent County, Delaware","71424","603","51808","1048","19616","949",
"0500000US10003","New Castle County, Delaware","224173","971","154724","1974","69449","1972",
"0500000US10005","Sussex County, Delaware","106441","1143","86851","1368","19590","1218",
"0500000US11001","District of Columbia, District of Columbia","324491","1816","134683","2554","189808","2796",
"0500000US12001","Alachua County, Florida","116786","949","63185","1308","53601","1324",
"0500000US12003","Baker County, Florida","9165","341","7799","460","1366","410",
"0500000US12005","Bay County, Florida","78778","1232","52660","1469","26118","1149",
"0500000US12007","Bradford County, Florida","9278","343","6801","421","2477","419",
"0500000US12009","Brevard County, Florida","257695","1860","197609","2066","60086","1632",
"0500000US12011","Broward County, Florida","753956","2614","479343","4485","274613","4021",
"0500000US12013","Calhoun County, Florida","4636","252","3652","289","984","197",
"0500000US12015","Charlotte County, Florida","90542","1202","75877","1283","14665","958",
"0500000US12017","Citrus County, Florida","71291","1038","60758","1118","10533","955",
"0500000US12019","Clay County, Florida","83707","641","63522","1084","20185","1089",
"0500000US12021","Collier County, Florida","165875","1975","127058","2081","38817","1621",
"0500000US12023","Columbia County, Florida","27430","451","19886","740","7544","750",
"0500000US12027","DeSoto County, Florida","12824","360","9300","494","3524","474",
"0500000US12029","Dixie County, Florida","6236","386","5284","345","952","211",
"0500000US12031","Duval County, Florida","415128","1729","241719","2989","173409","3136",
"0500000US12033","Escambia County, Florida","129027","1109","83586","1317","45441","1549",
"0500000US12035","Flagler County, Florida","52582","677","43619","1031","8963","965",
"0500000US12037","Franklin County, Florida","4949","245","4003","254","946","215",
"0500000US12039","Gadsden County, Florida","16872","375","11926","483","4946","503",
"0500000US12041","Gilchrist County, Florida","7151","205","6130","234","1021","208",
"0500000US12043","Glades County, Florida","4500","319","3829","277","671","211",
"0500000US12045","Gulf County, Florida","5944","370","4802","372","1142","216",
"0500000US12047","Hamilton County, Florida","4281","223","3416","240","865","213",
"0500000US12049","Hardee County, Florida","8219","270","5868","404","2351","387",
"0500000US12051","Hendry County, Florida","14130","340","10395","572","3735","533",
"0500000US12053","Hernando County, Florida","82475","832","68075","1036","14400","872",
"0500000US12055","Highlands County, Florida","46879","755","36845","858","10034","736",
"0500000US12057","Hillsborough County, Florida","583192","1970","358562","3834","224630","3604",
"0500000US12059","Holmes County, Florida","7011","222","5356","297","1655","253",
"0500000US12061","Indian River County, Florida","70816","1026","56735","1088","14081","846",
"0500000US12063","Jackson County, Florida","17276","383","13117","418","4159","424",
"0500000US12065","Jefferson County, Florida","5751","235","4363","281","1388","256",
"0500000US12067","Lafayette County, Florida","2632","212","2031","227","601","165",
"0500000US12069","Lake County, Florida","164497","1605","127645","2044","36852","1776",
"0500000US12071","Lee County, Florida","327803","2445","243654","2971","84149","2424",
"0500000US12073","Leon County, Florida","122597","1117","64446","1211","58151","1329",
"0500000US12075","Levy County, Florida","18562","318","15118","423","3444","403",
